번호,학년/가진급학년,Curriculum,교과영역구분,CourseId,Name,Professor,수업캠퍼스,LectureTime,LectureRoom,Credit,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
14,"1,2학년",전공,기초,ASW2008-02,심화프로그래밍,윤성림,서울,"화2.0-3.5/10:00-12:00,수2.0-3.5/10:00-12:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 30명,Advanced Programming,
15,"1,2학년",전공,기초,ASW2008-03,심화프로그래밍,윤성림,서울,"화5.0-6.5/13:00-15:00,수5.0-6.5/13:00-15:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 30명,Advanced Programming,
16,"1,2학년",전공,기초,ASW2009-01,객체지향프로그래밍,윤인식,서울,"화5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 40명, AI전공 및 AI융합학부 전용",Object-Oriented Programming,
17,"1,2학년",전공,기초,ASW2009-03,객체지향프로그래밍,박재철,서울,"수7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Object-Oriented Programming,
18,"1,2학년",전공,기초,ASW2009-04,객체지향프로그래밍,석문기,서울,"화8.0-9.5/16:00-18:00,금8.0-9.5/16:00-18:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Object-Oriented Programming,
19,"1,2학년",전공,기초,ASW2010-01,융합기초프로그래밍,성연식,서울,"월2.0-3.5/10:00-12:00,목7.0-8.5/15:00-17:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI융합대,,"영어강의, 수강정원 50명, 1학년만 수강가능",Convergence basic programming,
20,"1,2학년",전공,기초,ASW2010-02,융합기초프로그래밍,임상수,서울,"화7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Convergence basic programming,
21,"1,2학년",전공,기초,ASW2010-03,융합기초프로그래밍,장혜령,서울,"월7.0-8.5/15:00-17:00,수7.0-8.5/15:00-17:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Convergence basic programming,
22,3학년,전공,전문,ASW4009-01,운영체제,김경아,서울,금1.5-4.0/09:30-12:30,401-4147(신공학관(기숙사) 4147 강의실_스마트),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,MME전공 전용,Operating System,
23,3학년,전공,전문,ASW4009-02,운영체제,정준호,서울,"월7.5-8.5/15:30-17:00,수7.5-8.5/15:30-17:00","401-5145(신공학관(기숙사) 5145 강의실),401-5145(신공학관(기숙사) 5145 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Operating System,
24,3학년,전공,전문,ASW4009-03,운영체제,,서울,"화7.0-8.0/15:00-16:30,목5.5-6.5/13:30-15:00","401-6144(신공학관(기숙사) 6144 강의실),401-6144(신공학관(기숙사) 6144 강의실)",3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Operating System,
25,4학년,전공,전문,ASW4012-01,머신러닝,성연식,서울,"월5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 20명, MME전공 전용",Machine Learning,
26,4학년,전공,전문,ASW4012-02,머신러닝,김준태,서울,"수7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 50명,Machine Learning,
27,4학년,전공,전문,ASW4012-03,머신러닝,김준태,서울,"수9.0-10.5/17:00-18:50,목9.0-10.5/17:00-18:50","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 50명,Machine Learning,
28,4학년,전공,전문,ASW4016-01,컴퓨터보안,정준호,서울,"월5.0-6.5/13:00-15:00,수5.0-6.5/13:00-15:00","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 32명,COmputer Secutiry,
29,4학년,전공,전문,ASW4016-02,컴퓨터보안,김영부,서울,"수2.0-3.5/10:00-12:00,금5.5-7.0/13:30-15:30","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,COmputer Secutiry,
